,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
56,Toyota Corolla Altis GL MT,850000,37000.0,Petrol,Manual,1,2014,1798,5
57,Jeep Compass 1.4 Sport,1400000,50000.0,Petrol,Manual,1,2018,1368,5
58,Volvo XC60 D4 Summum,1500000,105241.0,Diesel,Automatic,1,2015,1985,5
59,Toyota Corolla Altis 1.8 G,1390000,54000.0,Petrol,Manual,1,2019,1798,5
60,Hyundai Verna VTVT 1.6 SX,890000,19600.0,Petrol,Manual,1,2019,1591,5
61,Audi A4 2.0 TDI Technology Edition,1689999,48000.0,Diesel,Automatic,1,2015,1968,5
62,Audi Q3 2.0 TDI,1390000,69500.0,Diesel,Automatic,1,2012,1968,5
63,BMW 5 Series 530d,1500000,71000.0,Diesel,Automatic,2,2012,2993,5
64,Porsche Cayenne S Diesel,4500000,48894.0,Diesel,Automatic,1,2014,4134,5
65,Maruti A-Star Zxi,153000,46257.0,Petrol,Manual,3,2008,998,5
66,Ford Ecosport 1.5 DV5 MT Titanium,509000,78264.0,Diesel,Manual,2,2015,1498,5
67,Honda Jazz 1.2 S AT i VTEC,546000,42451.0,Petrol,Automatic,1,2016,1199,5
68,Volkswagen Vento Diesel Highline,273000,131861.0,Diesel,Manual,2,2012,1598,5
69,Maruti Wagon R VXI BS IV,180000,128004.0,Petrol,Manual,2,2012,998,5
70,Chevrolet Beat Diesel PS,110000,150349.0,Diesel,Manual,1,2012,936,5
71,Maruti Wagon R VXI BS IV,369000,29033.0,Petrol,Manual,1,2017,998,5
72,BMW 3 Series 320d Luxury Line,1350000,99000.0,Diesel,Automatic,1,2015,1995,5
73,Renault KWID RXL,275000,47000.0,Petrol,Manual,1,2018,799,5
74,Maruti Baleno 1.3 Sigma,550000,35000.0,Diesel,Manual,1,2018,1248,5
75,Mercedes-Benz C-Class C 220 CDI BE COR,975000,58000.0,Diesel,Automatic,1,2013,2143,5
76,Honda City S,400000,48000.0,Petrol,Manual,1,2012,1497,5
77,Honda Amaze VX AT i-Vtech,475000,45000.0,Petrol,Automatic,1,2014,1198,5
78,Hyundai EON D Lite,190000,60000.0,Petrol,Manual,2,2012,814,5
79,Hyundai i20 Magna Optional 1.2,465000,23000.0,Petrol,Manual,1,2014,1197,5
80,Hyundai Grand i10 1.2 Kappa Era,459999,45000.0,Petrol,Manual,1,2019,1197,5
81,Hyundai i10 Magna 1.1L,325000,45000.0,Petrol,Manual,1,2014,1086,5
82,Maruti Ertiga VDI,525000,58000.0,Diesel,Manual,1,2013,1248,7
83,Hyundai i20 1.2 Spotz,625000,48000.0,Petrol,Manual,1,2018,1197,5
84,BMW 2 Series 220i M Sport,4000000,18000.0,Petrol,Automatic,1,2021,1998,5
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,1675000,16000.0,Petrol,Automatic,1,2022,999,5
86,Honda City i-VTEC VX,1000000,24000.0,Petrol,Manual,1,2019,1497,5
87,MG Hector Plus Select Diesel MT 7 STR,1789999,36000.0,Diesel,Manual,1,2021,1956,7
88,Jeep Compass 1.4 Limited Plus,1390000,35000.0,Petrol,Automatic,2,2019,1368,5
89,Honda Amaze E Petrol BSIV,610000,64000.0,Petrol,Manual,1,2019,1199,5
90,Maruti Vitara Brezza VDi,775000,72000.0,Diesel,Manual,1,2017,1248,5
91,Hyundai Grand i10 Magna,459999,29900.0,Petrol,Manual,1,2015,1197,5
92,Mahindra XUV700 AX5 Diesel AT,2091000,20000.0,Diesel,Automatic,1,2022,2198,5
93,Tata Indigo VX BSIV,310000,160000.0,Diesel,Manual,1,2013,1396,5
94,Tata Tiago XZ Plus,565000,16000.0,Petrol,Manual,1,2020,1199,5
95,Honda WR-V i-VTEC VX,900000,17000.0,Petrol,Manual,1,2019,1199,5
96,Lexus NX 300h,4200000,111000.0,Petrol,Automatic,1,2018,2499,5
97,Mercedes-Benz M-Class ML 250 CDI,2850000,38000.0,Diesel,Automatic,2,2015,2143,5
98,Honda Jazz 1.5 SV i DTEC,550000,32000.0,Diesel,Manual,1,2015,1498,5
99,Volkswagen Polo 1.2 MPI Comfortline,450000,67000.0,Petrol,Manual,1,2015,1198,5
100,Ford Ecosport 1.5 Petrol Titanium AT,675000,50000.0,Petrol,Automatic,1,2016,1496,5
101,Maruti Swift VDI BSIV,180000,110000.0,Diesel,Manual,2,2010,1248,5
102,Hyundai Verna VTVT 1.6 AT EX,775000,51000.0,Petrol,Automatic,1,2017,1591,5
103,Hyundai Grand i10 1.2 CRDi Sportz,550000,83000.0,Diesel,Manual,1,2017,1186,5
104,Audi Q3 35 TDI Quattro Premium,2400000,38000.0,Diesel,Automatic,1,2016,1968,5
105,Hyundai Creta 1.6 SX Automatic Diesel,1325000,58000.0,Diesel,Automatic,1,2018,1582,5
106,Hyundai Creta 1.6 SX,1100000,36000.0,Petrol,Manual,1,2018,1591,5
107,Volkswagen Vento 1.0 TSI Highline AT,1050000,23500.0,Petrol,Automatic,1,2020,999,5
108,Hyundai i20 1.2 Magna Executive,650000,60000.0,Petrol,Manual,1,2017,1197,5
109,Skoda Superb LK 1.8 TSI AT,2500000,18000.0,Petrol,Automatic,1,2018,1798,5
110,Honda Amaze V Petrol BSIV,600000,36500.0,Petrol,Manual,1,2017,1199,5
111,Skoda Superb Sportline,3100000,25000.0,Petrol,Automatic,1,2021,1984,5
112,Kia Seltos HTX IVT,1575000,20500.0,Petrol,Automatic,1,2020,1497,5
113,Honda Amaze S i-Vtech,450000,30000.0,Petrol,Manual,1,2015,1198,5
114,Hyundai i20 Magna 1.2,590000,59000.0,Petrol,Manual,1,2017,1197,5
115,BMW X1 sDrive 20d xLine,1450000,80000.0,Diesel,Automatic,1,2014,1995,5
116,Hyundai Xcent 1.2 CRDi E Plus,380000,50000.0,Diesel,Manual,2,2017,1186,5
117,Tata Harrier XZAS Plus Kaziranga Edition AT,2100000,32000.0,Diesel,Automatic,1,2021,1956,5
118,Hyundai i10 Era 1.1 iTech SE,261000,120000.0,Petrol,Manual,2,2012,1086,5
119,Land Rover Discovery 2.0 R-Dynamic HSE,11000000,33000.0,Petrol,Automatic,1,2021,1997,7
120,Mini 3 DOOR Cooper S,4200000,6900.0,Petrol,Automatic,1,2019,1998,4
121,Tata Harrier XZA Plus Kaziranga Edition AT,2250000,4500.0,Diesel,Automatic,1,2022,1956,5
122,Volvo S90 D4 Inscription BSIV,4200000,51000.0,Diesel,Automatic,1,2018,1969,5
123,Kia Seltos GTX Plus AT D,1975000,12000.0,Diesel,Automatic,1,2022,1493,5
124,Maruti Vitara Brezza ZDi Plus,950000,37000.0,Diesel,Manual,1,2018,1248,5
125,Hyundai Verna SX Opt Diesel,1451000,35000.0,Diesel,Manual,1,2021,1493,5
126,Maruti Wagon R VXI Optional,300000,80000.0,Petrol,Manual,2,2016,998,5
127,Hyundai Grand i10 Magna,459999,60000.0,Petrol,Manual,1,2016,1197,5
128,Honda Amaze VX CVT,915000,10000.0,Petrol,Automatic,1,2022,1199,5
129,Maruti Ignis Zeta AMT,550000,59385.0,Petrol,Automatic,1,2019,1197,5
130,Jaguar XF 3.0 Litre S Premium Luxury,1700000,51000.0,Diesel,Automatic,2,2012,2993,5
131,Mahindra XUV500 AT W6 1.99 mHawk,990000,74000.0,Diesel,Automatic,1,2017,1997,7
132,Tata Nexon 1.2 Revotron XMA,851000,29000.0,Petrol,Automatic,1,2020,1198,5
133,Jeep Compass Model S 4X4 Diesel AT,2750000,12200.0,Diesel,Automatic,1,2021,1956,5
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,550000,40000.0,Petrol,Automatic,3,2019,1197,5
135,Hyundai Verna CRDi 1.6 SX,951000,58000.0,Diesel,Manual,1,2018,1582,5
136,Toyota Innova Crysta 2.8 ZX AT BSIV,1989999,75000.0,Diesel,Automatic,2,2019,2755,7
137,Land Rover Discovery Sport TD4 HSE 7S,3550000,72000.0,Diesel,Automatic,1,2018,1999,7
138,Ford Aspire 1.2 Ti-VCT Titanium,550000,23400.0,Petrol,Manual,1,2017,1196,5
139,Ford Aspire 1.2 Ti-VCT Ambiente,390000,59300.0,Petrol,Manual,1,2017,1196,5
140,Hyundai Creta 1.4 CRDi S,890000,72000.0,Diesel,Manual,1,2016,1396,5
141,Maruti Swift Dzire LDI,451000,67000.0,Diesel,Manual,1,2017,1248,5
142,Honda Amaze S CVT i-VTEC,725000,33500.0,Petrol,Automatic,1,2018,1199,5
143,Hyundai Creta SX Executive,1275000,17000.0,Petrol,Manual,2,2021,1497,5
144,Volkswagen Ameo 1.5 TDI Highline AT,690000,33000.0,Diesel,Automatic,1,2016,1498,5
145,Volkswagen Polo GT TSI,675000,49000.0,Petrol,Automatic,1,2015,1197,5
146,Hyundai Grand i10 AT Asta,565000,26000.0,Petrol,Automatic,1,2015,1197,5
147,Hyundai Venue SX Opt iMT,1000000,14500.0,Petrol,Manual,1,2020,998,5
148,Kia Seltos GTX Plus AT D,1975000,10000.0,Diesel,Automatic,1,2022,1493,5
149,MG Hector Plus Sharp DCT,1700000,15001.0,Petrol,Automatic,1,2020,1451,6
150,Skoda Octavia Elegance 1.8 TSI AT,975000,55000.0,Petrol,Automatic,2,2015,1798,5
151,Toyota Corolla Altis G,650000,38000.0,Petrol,Manual,1,2013,1798,5
152,Ford Endeavour 4x4 XLT,400000,110000.0,Diesel,Manual,2,2005,2953,7
153,Honda Amaze S AT i-Vtech,475000,65413.0,Petrol,Automatic,1,2013,1198,5
154,Honda Jazz Mode,280000,45000.0,Petrol,Manual,2,2009,1198,5
155,Ford Figo 1.2P Trend MT,430000,44000.0,Petrol,Manual,1,2017,1196,5
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,490000,40000.0,Petrol,Manual,1,2017,1197,5
157,Ford Ecosport 1.5 Petrol Titanium AT,651000,49000.0,Petrol,Automatic,1,2016,1496,5
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,1751000,19000.0,Diesel,Automatic,1,2022,2184,4
159,Hyundai i20 Magna Optional 1.4 CRDi,391000,56000.0,Diesel,Manual,2,2013,1396,5
160,Honda City 1.5 V MT,375000,65000.0,Petrol,Manual,2,2010,1497,5
161,Toyota Etios G,490000,27680.0,Petrol,Manual,1,2013,1496,5
162,Kia Seltos GTX Plus AT D,1825000,27305.0,Diesel,Automatic,1,2021,1493,5
163,BMW 3 Series 320d,3300000,10793.0,Diesel,Automatic,1,2019,1995,5
164,BMW X3 xDrive 20d Luxury Line,5600000,12000.0,Diesel,Automatic,1,2020,1995,5
165,MG Hector Sharp DCT,1499000,44000.0,Petrol,Automatic,1,2019,1451,5
166,Kia Seltos HTK G,1199000,63000.0,Petrol,Manual,1,2020,1497,5
167,Hyundai i20 Sportz Plus Diesel,650000,87000.0,Diesel,Manual,1,2019,1396,5
168,Maruti Alto LXi,190000,61000.0,Petrol,Manual,1,2010,796,5
169,Hyundai i20 Sportz Option 1.4 CRDi,625000,72000.0,Diesel,Manual,1,2016,1396,5
170,Audi A4 2.0 TDI Multitronic,1651000,70000.0,Diesel,Automatic,1,2015,1968,5
171,Nissan Micra Diesel XV,225000,58000.0,Diesel,Manual,2,2012,1461,5
172,Honda Jazz Active,130000,90000.0,Petrol,Manual,3,2009,1198,5
173,Honda City VX MT,1250000,19000.0,Petrol,Manual,1,2022,1497,5
174,Toyota Corolla Altis G AT,925000,72159.0,Petrol,Automatic,1,2014,1798,5
175,Ford Ecosport 1.5 DV5 MT Titanium,590000,78000.0,Diesel,Manual,1,2015,1498,5
176,Ford Ecosport 1.5 Diesel Titanium BSIV,690000,58000.0,Diesel,Manual,1,2018,1498,5
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,890000,72000.0,Diesel,Manual,1,2018,1498,5
178,Land Rover Range Rover Evoque 2.0 TD4 SE,4250000,56000.0,Diesel,Automatic,1,2018,1999,5
179,Nissan Micra Diesel XV,290000,73000.0,Diesel,Manual,1,2012,1461,5
180,Hyundai Creta 1.6 VTVT S,890000,28840.0,Petrol,Manual,1,2016,1591,5
181,Maruti Swift Dzire AMT ZXI,690000,51500.0,Petrol,Automatic,1,2019,1197,5
182,Maruti S-Presso VXI Plus AT 2019-2022,480000,41370.0,Petrol,Automatic,1,2020,998,5
183,Hyundai Creta 1.6 VTVT S,875000,41266.0,Petrol,Manual,1,2016,1591,5
184,Hyundai Verna VTVT 1.6 AT SX Option,990000,31740.0,Petrol,Automatic,1,2018,1591,5
185,Maruti Ciaz VXi Plus,615000,77876.0,Petrol,Manual,1,2015,1373,5
186,Skoda Kushaq 1.5 TSI Style,2050000,9500.0,Petrol,Manual,1,2022,1498,5
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,625000,28387.0,Petrol,Automatic,1,2019,1197,5
188,Mercedes-Benz M-Class ML 350 CDI,2700000,120000.0,Diesel,Automatic,2,2015,2987,5
189,Hyundai Grand i10 Magna,450000,20000.0,Petrol,Manual,2,2017,1197,5
190,Mercedes-Benz C-Class Progressive C 220d,4250000,30686.0,Diesel,Automatic,1,2020,1950,5
191,Tata Indica eV2 DL BSIII,100000,120000.0,Diesel,Manual,2,2013,1396,5
192,Mahindra Bolero Power Plus SLE,600000,184000.0,Diesel,Manual,2,2018,1493,7
193,Honda City 1.5 S AT,400000,40000.0,Petrol,Automatic,1,2009,1497,5
194,Maruti Ciaz Delta Diesel,625000,55000.0,Diesel,Manual,1,2015,1248,5
195,Hyundai Grand i10 1.2 Kappa Sportz Option,575000,38000.0,Petrol,Manual,1,2019,1197,5
196,Audi Q3 30 TFSI Premium FWD,2350000,40000.0,Petrol,Automatic,1,2017,1395,5
197,Hyundai Santro GS zipDrive - Euro II,135000,60000.0,Petrol,Manual,2,2006,999,5
198,Mahindra Bolero SLX,300000,110000.0,Diesel,Manual,3,2009,2523,7
199,Maruti Swift LDI,210000,143000.0,Diesel,Manual,2,2011,1248,5
200,Tata Indica Aqua 1.3 Quadrajet BSIV,125000,110000.0,Diesel,Manual,3,2012,1248,5
201,Mahindra KUV 100 mFALCON D75 K4 Plus,475000,58000.0,Diesel,Manual,1,2017,1198,6
202,Honda City i VTEC SV,550000,65000.0,Petrol,Manual,2,2014,1497,5
203,Tata Harrier XZ Plus,1700000,50000.0,Diesel,Manual,1,2021,1956,5
204,Tata Zest Revotron 1.2 XT,349000,55000.0,Petrol,Manual,1,2015,1193,5
205,Land Rover Discovery Sport R-Dynamic SE Diesel,7000000,19500.0,Diesel,Automatic,1,2021,1999,7
206,Mahindra XUV500 AT W10 FWD,925000,78000.0,Diesel,Automatic,2,2016,2179,7
207,Honda City V MT,390000,58000.0,Petrol,Manual,1,2010,1497,5
208,Mahindra XUV500 W10 2WD,1025000,91000.0,Diesel,Manual,1,2017,2179,7
209,Mahindra XUV500 AT W10 1.99 mHawk,1125000,30000.0,Diesel,Automatic,1,2016,1997,7
210,Maruti Baleno 1.2 Zeta,725000,44153.0,Petrol,Manual,1,2018,1197,5
211,Mercedes-Benz C-Class C 250d Avantgarde Edition C,3450000,21000.0,Diesel,Automatic,1,2018,2143,5
212,Kia Seltos HTX G,1400000,19000.0,Petrol,Manual,1,2020,1497,5
213,Hyundai Alcazar Signature Diesel AT,1950000,27300.0,Diesel,Automatic,1,2021,1493,6
214,Skoda Superb Laurin & klement,3400000,31001.0,Petrol,Automatic,1,2021,1984,5
215,Renault KWID 1.0 RXT,310000,50000.0,Petrol,Manual,1,2017,999,5
216,Maruti Wagon R LXI BSII,130000,77000.0,Petrol,Manual,2,2005,998,5
217,Maruti Swift Dzire AMT VXI,650000,53000.0,Petrol,Automatic,1,2018,1197,5
218,Datsun RediGO S,275000,20000.0,Petrol,Manual,1,2017,799,5
219,Honda Brio S Option MT,350000,72000.0,Petrol,Manual,1,2013,1198,5
220,Hyundai Creta 1.6 VTVT S,890000,26000.0,Petrol,Manual,1,2016,1591,5
221,Honda Amaze S i-Dtech,425000,66000.0,Diesel,Manual,1,2015,1498,5
222,Jaguar XF 2.2 Litre Luxury,2200000,69619.0,Diesel,Automatic,1,2014,2179,5
223,Maruti Alto K10 VXI AMT,430000,30000.0,Petrol,Automatic,1,2018,998,5
224,Maruti Wagon R LXI Minor,211000,61000.0,Petrol,Manual,1,2009,1061,5
225,Renault Duster 110PS Diesel RxZ AMT,975000,31000.0,Diesel,Automatic,1,2018,1461,5
226,Volkswagen Polo GT TSI,625000,66000.0,Petrol,Automatic,1,2015,1197,5
227,Land Rover Discovery Sport R-Dynamic SE,7200000,7700.0,Petrol,Automatic,1,2021,1997,7
228,Mahindra XUV700 AX3 AT,1750000,9000.0,Petrol,Automatic,1,2022,1999,5
229,Tata Tigor 1.2 Revotron XT,340000,60000.0,Petrol,Manual,2,2017,1199,5
230,Skoda Fabia 1.2 MPI Active,110000,110000.0,Petrol,Manual,3,2009,1198,5
231,Kia Seltos HTX Plus AT D,1675000,51001.0,Diesel,Automatic,1,2020,1493,5
232,Jeep Compass 2.0 Limited Plus AT,2100000,56207.0,Diesel,Automatic,1,2020,1956,5
233,Mercedes-Benz GLA Class 200 d Sport,2690000,58000.0,Diesel,Automatic,1,2019,2143,5
234,Hyundai i20 Diesel Sportz,650000,73290.0,Diesel,Manual,1,2018,1396,5
235,Hyundai Verna 1.6 CRDi S,790000,44283.0,Diesel,Manual,1,2017,1582,5
236,Maruti Celerio VXI AT,425000,48000.0,Petrol,Automatic,1,2016,998,5
237,Honda City 1.5 S MT,340000,107500.0,Petrol,Manual,3,2010,1497,5
238,Maruti Swift 1.3 LXI,99999,80000.0,Petrol,Manual,3,2007,1298,5
239,Maruti SX4 Celebration Petrol,200000,90000.0,Petrol,Manual,2,2009,1586,5
240,Maruti Vitara Brezza LXI,775000,10000.0,Petrol,Manual,1,2021,1462,5
241,Maruti Wagon R LXI BS IV,215000,120000.0,Petrol,Manual,1,2011,998,5
242,Maruti Wagon R LXI BS IV,237000,120000.0,Petrol,Manual,1,2011,998,5
243,Maruti Zen LX,55000,90000.0,Petrol,Manual,3,2002,993,5
244,Mahindra KUV 100 NXT G80 K2,425000,46000.0,Petrol,Manual,1,2018,1198,6
245,Nissan Sunny XL D,575000,28000.0,Diesel,Manual,1,2017,1461,5
246,Honda WR-V SV,825000,24000.0,Petrol,Manual,1,2020,1199,5
247,Honda WR-V i-VTEC S,690000,23000.0,Petrol,Manual,1,2018,1199,5
248,Honda WR-V i-VTEC VX,775000,24300.0,Petrol,Manual,1,2018,1199,5
249,Honda WR-V i-VTEC VX,790000,51000.0,Petrol,Manual,1,2019,1199,5
250,Kia Seltos GTX Plus DCT,1490000,6000.0,Petrol,Automatic,1,2020,1353,5
251,Kia Seltos GTX Plus DCT,1725000,12600.0,Petrol,Automatic,1,2021,1353,5
252,Jeep Meridian Limited Opt AT 4x4,3700000,3500.0,Diesel,Automatic,1,2022,1956,7
253,Hyundai i10 Era,229999,120000.0,Petrol,Manual,1,2011,1086,5
254,Hyundai Grand i10 Nios Sportz CNG,750000,5000.0,Cng,Manual,1,2022,1197,5
255,Hyundai Santro Xing GLS,135000,120000.0,Petrol,Manual,4,2010,1086,5
256,Honda Jazz V CVT,695000,40000.0,Petrol,Automatic,1,2018,1199,5
257,Honda City i-VTEC V,785000,96000.0,Petrol,Manual,1,2018,1497,5
258,Honda City 1.5 S MT,325000,67000.0,Petrol,Manual,2,2010,1497,5
259,Honda City i-VTEC V,790000,72000.0,Petrol,Manual,1,2018,1497,5
260,Hyundai i10 Magna,321000,89000.0,Petrol,Manual,1,2013,1197,5
261,Volkswagen Polo Diesel Trendline 1.2L,330000,64000.0,Diesel,Manual,1,2011,1199,5
262,Maruti Swift Vdi BSIII,200000,120000.0,Diesel,Manual,3,2010,1248,5
263,Honda Jazz 1.2 SV i VTEC,540000,42000.0,Petrol,Manual,1,2017,1199,5
264,Datsun RediGO T,270000,55000.0,Petrol,Manual,1,2017,799,5
265,Hyundai Santro Era Executive BSIV,495000,30000.0,Petrol,Manual,1,2019,1086,5
266,Tata Hexa XTA,1000000,86500.0,Diesel,Automatic,2,2017,2179,7
267,Honda CR-V 2.4L 4WD AT,1050000,59000.0,Petrol,Automatic,1,2014,2354,5
268,Hyundai EON Era Plus,310000,15000.0,Petrol,Manual,1,2018,814,5
269,Mahindra Scorpio S7 140 BSIV,1200000,70000.0,Diesel,Manual,1,2019,2179,7
270,Volkswagen Polo ALLSTAR 1.2 MPI,600000,50000.0,Petrol,Manual,2,2017,1198,5
271,Chevrolet Cruze LT,300000,110000.0,Diesel,Manual,1,2012,1991,5
272,Tata Nexon XMA AMT,925000,13700.0,Petrol,Automatic,1,2021,1199,5
273,Maruti Swift VXI BSIV,570000,25000.0,Petrol,Manual,1,2019,1197,5
274,Ford Ecosport Sports Diesel,1100000,20000.0,Diesel,Manual,1,2021,1498,5
275,Jaguar XF 2.2 Litre Luxury,1800000,70000.0,Diesel,Automatic,2,2014,2179,5
276,Tata Indica TDI LX,100000,35000.0,Diesel,Manual,3,2013,1405,5
277,Toyota Fortuner 4X4 Diesel AT,4350000,26629.0,Diesel,Automatic,1,2021,2755,7
278,Mercedes-Benz C-Class Progressive C 220d,4650000,20000.0,Diesel,Automatic,1,2019,1950,5
279,Mercedes-Benz GLC Progressive 220d,5395000,33000.0,Diesel,Automatic,1,2019,2143,5
280,BMW 3 Series Gran Limousine 330Li M Sport First Edition,6175000,25000.0,Petrol,Automatic,1,2021,1998,5
281,Audi Q3 30 TDI,2795000,55291.0,Diesel,Manual,1,2017,1968,5
282,Mercedes-Benz C-Class C 220 CDI Avantgarde,1650000,58500.0,Diesel,Automatic,1,2013,2143,5
283,Audi Q7 45 TDI Quattro Technology,7250000,15000.0,Diesel,Automatic,1,2018,2967,7
284,Renault Duster 85PS Diesel RxL Option,650000,90000.0,Diesel,Manual,1,2014,1461,5
285,Audi Q3 35 TDI Quattro Premium,1300000,64000.0,Diesel,Automatic,2,2012,1968,5
286,Maruti Zen LXI,400000,132596.0,Petrol,Manual,2,2004,993,5
287,Maruti Swift VXI BSIII,154000,99673.0,Petrol,Manual,3,2008,1298,5
288,Tata Nexon EV Prime XZ Plus LUX,418000,24374.0,Electric,Automatic,1,2021,0,5
289,Volkswagen Vento Petrol Highline AT,392000,69828.0,Petrol,Automatic,3,2011,1598,5
290,Maruti Baleno 1.2 Alpha,594000,72820.0,Petrol,Manual,2,2016,1197,5
291,Mercedes-Benz C-Class Progressive C 220d,3724000,20785.0,Diesel,Automatic,1,2019,1950,5
292,Maruti Swift Dzire VXI AT Optional,588000,31172.0,Petrol,Automatic,2,2016,1197,5
